fuzzyInput,left,centre, right,fuzzyOutput,fuzzyInterval
-0.14,133.41,73.35,11.13,-0.69,0.153268337
-0.14,133.41,73.35,11.13,-0.69,0.034320116
-0.14,266.67,73.35,11.13,-0.69,0.174455404
-0.29,266.67,172.92,11.06,-0.4,0.172843933
-0.29,266.67,172.92,11.06,-0.4,0.160874128
-0.29,266.67,172.92,11.06,-0.4,0.015606642
-0.14,400,172.92,11.06,-0.4,0.183368444
-0.14,400,171.4,10.89,-0.4,0.166864634
-0.14,400,171.4,10.89,-0.4,0.165669918
-0.14,400,171.4,10.89,-0.4,0.013379097
-0.14,400,171.4,10.89,-0.4,0.013334274
-0.14,400,171.4,10.89,-0.4,0.013421535
-0.14,400,171.4,10.89,-0.4,0.015613317
-0.14,266.32,126.25,10.89,-0.4,0.166764736
-0.14,266.32,126.25,10.86,-0.4,0.145540953
-0.14,266.32,126.25,10.86,-0.4,0.013753653
-0.14,266.32,126.25,10.86,-0.4,0.013746023
-0.14,266.32,126.25,10.86,-0.4,0.013500929
-0.14,266.32,126.25,10.86,-0.4,0.013555527
-0.14,266.32,126.25,10.86,-0.4,0.013468981
-0.14,105.98,108.76,10.86,-0.4,0.190190077
-0.14,105.98,108.76,11.05,-0.4,0.182808638
-0.14,105.98,108.76,11.05,-0.4,0.013936043
-0.14,105.98,108.76,11.05,-0.4,0.013416767
-0.14,105.98,108.76,11.05,-0.4,0.014031649
-0.14,105.98,108.76,11.05,-0.4,0.013431549
-0.14,107.47,108.76,11.05,-0.4,0.167894602
-0.14,107.47,108.96,11.03,-0.4,0.158807039
-0.14,107.47,108.96,11.03,-0.4,0.14777112
-0.14,107.47,108.96,11.03,-0.4,0.013443947
-0.14,107.47,108.96,11.03,-0.4,0.013562679
-0.14,107.47,108.96,11.03,-0.4,0.013558149
-0.14,267.8,108.96,11.03,-0.4,0.163685083
-0.14,267.8,109.71,11.03,-0.4,0.152844667
-0.14,267.8,109.71,11.03,-0.4,0.013492107
-0.14,267.8,109.71,11.03,-0.4,0.013669014
-0.14,267.8,109.71,11.03,-0.4,0.013387442
-0.14,267.8,109.71,11.03,-0.4,0.013437986
-0.14,267.8,109.71,11.03,-0.4,0.013893127
-0.14,266.7,109.71,11.03,-0.4,0.161309481
-0.14,266.7,114.67,10.86,-0.4,0.149483442
